Time in s	CH I in Volt	CH II in Volt	
0.E+0	1.00E-02	2.68E-02	
5.E-8	1.00E-02	2.66E-02	
1.E-7	1.00E-02	2.68E-02	
1.5E-7	1.00E-02	2.68E-02	
2.E-7	1.00E-02	2.68E-02	
2.5E-7	1.00E-02	2.68E-02	
3.E-7	1.00E-02	2.66E-02	
3.5E-7	1.02E-02	2.68E-02	
4.E-7	1.02E-02	2.66E-02	
4.5E-7	1.02E-02	2.66E-02	
5.E-7	1.02E-02	2.68E-02	
5.5E-7	1.02E-02	2.66E-02	
6.E-7	1.02E-02	2.66E-02	
6.5E-7	1.02E-02	2.68E-02	
7.E-7	1.02E-02	2.66E-02	
7.5E-7	1.02E-02	2.64E-02	
8.E-7	1.02E-02	2.66E-02	
8.5E-7	1.02E-02	2.66E-02	
9.E-7	1.02E-02	2.66E-02	
9.5E-7	1.02E-02	2.66E-02	
1.E-6	1.02E-02	2.64E-02	
1.05E-6	1.02E-02	2.66E-02	
1.1E-6	1.02E-02	2.64E-02	
1.15E-6	1.02E-02	2.64E-02	
1.2E-6	1.02E-02	2.64E-02	
1.25E-6	1.02E-02	2.64E-02	
1.3E-6	1.02E-02	2.62E-02	
1.35E-6	1.02E-02	2.66E-02	
1.4E-6	1.02E-02	2.64E-02	
1.45E-6	1.02E-02	2.64E-02	
1.5E-6	1.02E-02	2.64E-02	
1.55E-6	1.02E-02	2.64E-02	
1.6E-6	1.02E-02	2.64E-02	
1.65E-6	1.02E-02	2.62E-02	
1.7E-6	1.02E-02	2.64E-02	
1.75E-6	1.02E-02	2.62E-02	
1.8E-6	1.02E-02	2.64E-02	
1.85E-6	1.02E-02	2.64E-02	
1.9E-6	1.02E-02	2.64E-02	
1.95E-6	1.02E-02	2.64E-02	
2.E-6	1.02E-02	2.62E-02	
2.05E-6	1.02E-02	2.64E-02	
2.1E-6	1.02E-02	2.62E-02	
2.15E-6	1.02E-02	2.64E-02	
2.2E-6	1.02E-02	2.64E-02	
2.25E-6	1.02E-02	2.64E-02	
2.3E-6	1.02E-02	2.62E-02	
2.35E-6	1.02E-02	2.62E-02	
2.4E-6	1.02E-02	2.62E-02	
2.45E-6	1.02E-02	2.62E-02	
2.5E-6	1.02E-02	2.62E-02	
2.55E-6	1.02E-02	2.60E-02	
2.6E-6	1.02E-02	2.62E-02	
2.65E-6	1.02E-02	2.62E-02	
2.7E-6	1.02E-02	2.62E-02	
2.75E-6	1.02E-02	2.62E-02	
2.8E-6	1.02E-02	2.60E-02	
2.85E-6	1.00E-02	2.62E-02	
2.9E-6	1.00E-02	2.60E-02	
2.95E-6	1.00E-02	2.58E-02	
3.E-6	1.00E-02	2.58E-02	
3.05E-6	1.00E-02	2.62E-02	
3.1E-6	1.00E-02	2.58E-02	
3.15E-6	1.00E-02	2.62E-02	
3.2E-6	1.02E-02	2.62E-02	
3.25E-6	1.02E-02	2.60E-02	
3.3E-6	1.02E-02	2.60E-02	
3.35E-6	1.02E-02	2.62E-02	
3.4E-6	1.02E-02	2.58E-02	
3.45E-6	1.02E-02	2.60E-02	
3.5E-6	1.02E-02	2.60E-02	
3.55E-6	1.02E-02	2.58E-02	
3.6E-6	1.02E-02	2.56E-02	
3.65E-6	1.02E-02	2.58E-02	
3.7E-6	1.02E-02	2.58E-02	
3.75E-6	1.02E-02	2.60E-02	
3.8E-6	1.02E-02	2.58E-02	
3.85E-6	1.02E-02	2.58E-02	
3.9E-6	1.02E-02	2.56E-02	
3.95E-6	1.02E-02	2.60E-02	
4.E-6	1.02E-02	2.54E-02	
4.05E-6	1.02E-02	2.58E-02	
4.1E-6	1.02E-02	2.56E-02	
4.15E-6	1.02E-02	2.60E-02	
4.2E-6	1.02E-02	2.56E-02	
4.25E-6	1.00E-02	2.56E-02	
4.3E-6	1.00E-02	2.56E-02	
4.35E-6	1.00E-02	2.56E-02	
4.4E-6	1.00E-02	2.56E-02	
4.45E-6	1.00E-02	2.56E-02	
4.5E-6	1.00E-02	2.52E-02	
4.55E-6	1.00E-02	2.56E-02	
4.6E-6	1.00E-02	2.54E-02	
4.65E-6	1.00E-02	2.54E-02	
4.7E-6	1.00E-02	2.54E-02	
4.75E-6	1.00E-02	2.56E-02	
4.8E-6	1.00E-02	2.56E-02	
4.85E-6	1.00E-02	2.54E-02	
4.9E-6	1.00E-02	2.50E-02	
4.95E-6	1.00E-02	2.52E-02	
5.E-6	1.00E-02	2.54E-02	
5.05E-6	1.00E-02	2.56E-02	
5.1E-6	1.00E-02	2.54E-02	
5.15E-6	1.00E-02	2.54E-02	
5.2E-6	1.00E-02	2.52E-02	
5.25E-6	1.00E-02	2.54E-02	
5.3E-6	1.00E-02	2.52E-02	
5.35E-6	1.00E-02	2.52E-02	
5.4E-6	1.00E-02	2.50E-02	
5.45E-6	1.00E-02	2.50E-02	
5.5E-6	1.00E-02	2.50E-02	
5.55E-6	1.00E-02	2.54E-02	
5.6E-6	1.00E-02	2.50E-02	
5.65E-6	1.00E-02	2.52E-02	
5.7E-6	1.00E-02	2.50E-02	
5.75E-6	1.00E-02	2.52E-02	
5.8E-6	1.00E-02	2.44E-02	
5.85E-6	1.00E-02	2.48E-02	
5.9E-6	1.00E-02	2.48E-02	
5.95E-6	1.00E-02	2.50E-02	
6.E-6	1.00E-02	2.48E-02	
6.05E-6	1.00E-02	2.50E-02	
6.1E-6	1.00E-02	2.48E-02	
6.15E-6	1.00E-02	2.48E-02	
6.2E-6	1.00E-02	2.44E-02	
6.25E-6	1.00E-02	2.46E-02	
6.3E-6	1.00E-02	2.44E-02	
6.35E-6	1.00E-02	2.44E-02	
6.4E-6	1.00E-02	2.46E-02	
6.45E-6	1.00E-02	2.48E-02	
6.5E-6	1.00E-02	2.44E-02	
